iter	Passed	Remaining
0	36	36649
1	52	26051
2	56	18877
3	64	16073
4	72	14398
5	79	13159
6	85	12163
7	90	11175
8	95	10543
9	101	10059
10	106	9535
11	112	9252
12	116	8867
13	122	8605
14	127	8358
15	130	8034
16	138	7983
17	144	7903
18	152	7888
19	159	7832
20	165	7693
21	170	7591
22	177	7524
23	184	7488
24	192	7493
25	197	7408
26	202	7290
27	203	7080
28	207	6931
29	208	6738
30	212	6651
31	219	6636
32	225	6613
33	231	6569
34	235	6503
35	240	6451
36	249	6505
37	257	6512
38	262	6465
39	266	6407
40	271	6345
41	275	6292
42	282	6279
43	288	6272
44	296	6289
45	302	6266
46	305	6204
47	311	6172
48	318	6178
49	320	6080
50	324	6031
51	329	6000
52	331	5916
53	339	5950
54	345	5928
55	349	5899
56	355	5873
57	357	5798
58	361	5760
59	365	5722
60	369	5695
61	375	5677
62	380	5665
63	387	5663
64	393	5661
65	396	5604
66	401	5586
67	406	5569
68	411	5545
69	415	5520
70	421	5508
71	424	5476
72	432	5487
73	434	5436
74	443	5471
75	449	5468
76	455	5457
77	459	5428
78	463	5407
79	468	5388
80	476	5411
81	483	5411
82	490	5418
83	497	5421
84	506	5451
85	513	5461
86	520	5466
87	527	5467
88	533	5463
89	538	5444
90	544	5437
91	545	5385
92	552	5393
93	556	5361
94	560	5338
95	564	5319
96	569	5298
97	573	5282
98	579	5275
99	585	5271
100	591	5266
101	595	5241
102	596	5195
103	602	5188
104	605	5161
105	612	5162
106	619	5170
107	625	5162
108	629	5149
109	637	5157
110	641	5135
111	650	5155
112	652	5125
113	658	5115
114	663	5107
115	671	5120
116	673	5080
117	675	5048
118	677	5016
119	681	4996
120	687	4994
121	689	4961
122	694	4951
123	697	4930
124	700	4903
125	706	4897
126	707	4864
127	715	4874
128	721	4868
129	727	4867
130	729	4838
131	735	4838
132	738	4811
133	746	4823
134	750	4806
135	755	4796
136	757	4770
137	759	4746
138	772	4786
139	780	4794
140	785	4785
141	792	4786
142	799	4793
143	804	4779
144	809	4770
145	814	4764
146	820	4758
147	829	4775
148	835	4769
149	842	4775
150	848	4770
151	851	4751
152	858	4754
153	864	4749
154	865	4720
155	870	4710
156	876	4707
157	882	4704
158	888	4698
159	894	4694
160	899	4687
161	905	4685
162	910	4676
163	913	4656
164	917	4645
165	920	4623
166	922	4600
167	926	4587
168	931	4582
169	937	4577
170	943	4573
171	948	4565
172	953	4559
173	961	4565
174	970	4574
175	976	4571
176	981	4565
177	983	4542
178	990	4541
179	995	4537
180	1000	4526
181	1005	4520
182	1012	4518
183	1020	4526
184	1030	4538
185	1035	4530
186	1040	4525
187	1046	4518
188	1052	4516
189	1056	4503
190	1065	4513
191	1073	4517
192	1080	4518
193	1086	4513
194	1091	4506
195	1100	4514
196	1104	4501
197	1110	4497
198	1114	4487
199	1121	4486
200	1129	4489
201	1135	4485
202	1139	4474
203	1141	4454
204	1148	4453
205	1153	4447
206	1161	4447
207	1171	4460
208	1181	4471
209	1186	4464
210	1191	4456
211	1196	4448
212	1201	4438
213	1207	4434
214	1213	4431
215	1219	4425
216	1225	4423
217	1230	4414
218	1234	4403
219	1241	4401
220	1246	4395
221	1253	4391
222	1258	4384
223	1264	4380
224	1268	4369
225	1273	4361
226	1281	4363
227	1286	4357
228	1294	4357
229	1299	4348
230	1304	4341
231	1309	4333
232	1314	4328
233	1321	4325
234	1328	4324
235	1333	4318
236	1339	4312
237	1345	4309
238	1351	4304
239	1359	4305
240	1366	4304
241	1375	4308
242	1381	4302
243	1385	4292
244	1391	4288
245	1397	4283
246	1403	4279
247	1410	4277
248	1416	4273
249	1423	4269
250	1429	4267
251	1434	4257
252	1440	4252
253	1447	4251
254	1454	4248
255	1459	4242
256	1464	4232
257	1474	4239
258	1482	4241
259	1489	4240
260	1495	4234
261	1504	4237
262	1511	4234
263	1515	4225
264	1521	4219
265	1526	4211
266	1531	4203
267	1539	4203
268	1544	4198
269	1552	4198
270	1558	4191
271	1564	4186
272	1570	4182
273	1576	4176
274	1583	4174
275	1588	4167
276	1593	4159
277	1600	4157
278	1607	4154
279	1614	4151
280	1621	4150
281	1630	4152
282	1639	4153
283	1645	4147
284	1651	4143
285	1657	4138
286	1664	4135
287	1670	4130
288	1675	4122
289	1681	4116
290	1686	4109
291	1691	4100
292	1696	4092
293	1704	4092
294	1710	4086
295	1715	4079
296	1719	4069
297	1725	4064
298	1733	4064
299	1739	4059
300	1746	4056
301	1752	4049
302	1756	4040
303	1762	4035
304	1768	4029
305	1776	4029
306	1782	4024
307	1788	4018
308	1794	4013
309	1801	4010
310	1808	4007
311	1813	3999
312	1820	3995
313	1827	3992
314	1835	3990
315	1842	3988
316	1847	3979
317	1854	3977
318	1861	3973
319	1866	3965
320	1874	3964
321	1881	3960
322	1885	3952
323	1893	3949
324	1900	3946
325	1907	3943
